Log:
DateTime: 21.03 12.10.2025.

Model: ResNet101
Loss function: CrossEntropyLoss
Optimizer: SGD

HyperParameters:
- Number of epochs: 3
- Batch size: 128
- Learning rate: 0.001


ConsoleLog:
Streaming output truncated to the last 5000 lines.
Training:  29% 369/1293 [01:16<03:07,  4.92batch/s, Train loss=1.1448, Train accuracy=0.4387]
Training:  22% 286/1293 [00:59<03:37,  4.62batch/s, Train loss=1.0481, Train accuracy=0.4861]
Training:  22% 287/1293 [00:59<03:43,  4.50batch/s, Train loss=1.0481, Train accuracy=0.4861]
Training:  22% 287/1293 [00:59<03:43,  4.50batch/s, Train loss=1.0479, Train accuracy=0.4860]
Training:  22% 288/1293 [00:59<03:43,  4.49batch/s, Train loss=1.0479, Train accuracy=0.4860]
Training:  22% 288/1293 [00:59<03:43,  4.49batch/s, Train loss=1.0480, Train accuracy=0.4858]
Training:  22% 289/1293 [00:59<03:45,  4.44batch/s, Train loss=1.0480, Train accuracy=0.4858]
Training:  22% 289/1293 [00:59<03:45,  4.44batch/s, Train loss=1.0480, Train accuracy=0.4856]
Training:  22% 290/1293 [00:59<03:45,  4.44batch/s, Train loss=1.0480, Train accuracy=0.4856]
Training:  22% 290/1293 [01:00<03:45,  4.44batch/s, Train loss=1.0485, Train accuracy=0.4855]
Training:  23% 291/1293 [01:00<03:38,  4.59batch/s, Train loss=1.0485, Train accuracy=0.4855]
Training:  23% 291/1293 [01:00<03:38,  4.59batch/s, Train loss=1.0485, Train accuracy=0.4855]
Training:  23% 292/1293 [01:00<03:33,  4.69batch/s, Train loss=1.0485, Train accuracy=0.4855]
Training:  23% 292/1293 [01:00<03:33,  4.69batch/s, Train loss=1.0482, Train accuracy=0.4857]
Training:  23% 293/1293 [01:00<03:29,  4.77batch/s, Train loss=1.0482, Train accuracy=0.4857]
Training:  23% 293/1293 [01:00<03:29,  4.77batch/s, Train loss=1.0482, Train accuracy=0.4858]
Training:  23% 294/1293 [01:00<03:27,  4.81batch/s, Train loss=1.0482, Train accuracy=0.4858]
Training:  23% 294/1293 [01:00<03:27,  4.81batch/s, Train loss=1.0481, Train accuracy=0.4858]
Training:  23% 295/1293 [01:00<03:26,  4.83batch/s, Train loss=1.0481, Train accuracy=0.4858]
Training:  23% 295/1293 [01:01<03:26,  4.83batch/s, Train loss=1.0480, Train accuracy=0.4861]
Training:  23% 296/1293 [01:01<03:25,  4.86batch/s, Train loss=1.0480, Train accuracy=0.4861]
Training:  23% 296/1293 [01:01<03:25,  4.86batch/s, Train loss=1.0483, Train accuracy=0.4860]
Training:  23% 297/1293 [01:01<03:26,  4.83batch/s, Train loss=1.0483, Train accuracy=0.4860]
Training:  23% 297/1293 [01:01<03:26,  4.83batch/s, Train loss=1.0481, Train accuracy=0.4859]
Training:  23% 298/1293 [01:01<03:26,  4.83batch/s, Train loss=1.0481, Train accuracy=0.4859]
Training:  23% 298/1293 [01:01<03:26,  4.83batch/s, Train loss=1.0483, Train accuracy=0.4856]
Training:  23% 299/1293 [01:01<03:25,  4.83batch/s, Train loss=1.0483, Train accuracy=0.4856]
Training:  23% 299/1293 [01:02<03:25,  4.83batch/s, Train loss=1.0484, Train accuracy=0.4853]
Training:  23% 300/1293 [01:02<03:24,  4.86batch/s, Train loss=1.0484, Train accuracy=0.4853]
Training:  23% 300/1293 [01:02<03:24,  4.86batch/s, Train loss=1.0489, Train accuracy=0.4848]
Training:  23% 301/1293 [01:02<03:22,  4.90batch/s, Train loss=1.0489, Train accuracy=0.4848]
Training:  23% 301/1293 [01:02<03:22,  4.90batch/s, Train loss=1.0486, Train accuracy=0.4853]
Training:  23% 302/1293 [01:02<03:21,  4.91batch/s, Train loss=1.0486, Train accuracy=0.4853]
Training:  23% 302/1293 [01:02<03:21,  4.91batch/s, Train loss=1.0484, Train accuracy=0.4853]
Training:  23% 303/1293 [01:02<03:20,  4.94batch/s, Train loss=1.0484, Train accuracy=0.4853]
Training:  23% 303/1293 [01:02<03:20,  4.94batch/s, Train loss=1.0481, Train accuracy=0.4856]
Training:  24% 304/1293 [01:02<03:20,  4.93batch/s, Train loss=1.0481, Train accuracy=0.4856]
Training:  24% 304/1293 [01:03<03:20,  4.93batch/s, Train loss=1.0475, Train accuracy=0.4861]
Training:  24% 305/1293 [01:03<03:21,  4.90batch/s, Train loss=1.0475, Train accuracy=0.4861]
Training:  24% 305/1293 [01:03<03:21,  4.90batch/s, Train loss=1.0470, Train accuracy=0.4860]
Training:  24% 306/1293 [01:03<03:20,  4.92batch/s, Train loss=1.0470, Train accuracy=0.4860]
Training:  24% 306/1293 [01:03<03:20,  4.92batch/s, Train loss=1.0471, Train accuracy=0.4861]
Training:  24% 307/1293 [01:03<03:20,  4.92batch/s, Train loss=1.0471, Train accuracy=0.4861]
Training:  24% 307/1293 [01:03<03:20,  4.92batch/s, Train loss=1.0475, Train accuracy=0.4858]
Training:  24% 308/1293 [01:03<03:19,  4.93batch/s, Train loss=1.0475, Train accuracy=0.4858]
Training:  24% 308/1293 [01:03<03:19,  4.93batch/s, Train loss=1.0476, Train accuracy=0.4858]
Training:  24% 309/1293 [01:03<03:19,  4.93batch/s, Train loss=1.0476, Train accuracy=0.4858]
Training:  24% 309/1293 [01:04<03:19,  4.93batch/s, Train loss=1.0477, Train accuracy=0.4858]
Training:  24% 310/1293 [01:04<03:18,  4.95batch/s, Train loss=1.0477, Train accuracy=0.4858]
Training:  24% 310/1293 [01:04<03:18,  4.95batch/s, Train loss=1.0478, Train accuracy=0.4857]
Training:  24% 311/1293 [01:04<03:21,  4.88batch/s, Train loss=1.0478, Train accuracy=0.4857]
Training:  24% 311/1293 [01:04<03:21,  4.88batch/s, Train loss=1.0474, Train accuracy=0.4860]
Training:  24% 312/1293 [01:04<03:19,  4.92batch/s, Train loss=1.0474, Train accuracy=0.4860]
Training:  24% 312/1293 [01:04<03:19,  4.92batch/s, Train loss=1.0468, Train accuracy=0.4860]
Training:  24% 313/1293 [01:04<03:18,  4.95batch/s, Train loss=1.0468, Train accuracy=0.4860]
Training:  24% 313/1293 [01:04<03:18,  4.95batch/s, Train loss=1.0471, Train accuracy=0.4862]
Training:  24% 314/1293 [01:04<03:17,  4.95batch/s, Train loss=1.0471, Train accuracy=0.4862]
Training:  24% 314/1293 [01:05<03:17,  4.95batch/s, Train loss=1.0474, Train accuracy=0.4862]
Training:  24% 315/1293 [01:05<03:17,  4.95batch/s, Train loss=1.0474, Train accuracy=0.4862]
Training:  24% 315/1293 [01:05<03:17,  4.95batch/s, Train loss=1.0473, Train accuracy=0.4862]
Training:  24% 316/1293 [01:05<03:22,  4.84batch/s, Train loss=1.0473, Train accuracy=0.4862]
Training:  24% 316/1293 [01:05<03:22,  4.84batch/s, Train loss=1.0478, Train accuracy=0.4860]
Training:  25% 317/1293 [01:05<03:21,  4.84batch/s, Train loss=1.0478, Train accuracy=0.4860]
Training:  25% 317/1293 [01:05<03:21,  4.84batch/s, Train loss=1.0477, Train accuracy=0.4861]
Training:  25% 318/1293 [01:05<03:20,  4.86batch/s, Train loss=1.0477, Train accuracy=0.4861]
Training:  25% 318/1293 [01:05<03:20,  4.86batch/s, Train loss=1.0479, Train accuracy=0.4862]
Training:  25% 319/1293 [01:05<03:19,  4.89batch/s, Train loss=1.0479, Train accuracy=0.4862]
Training:  25% 319/1293 [01:06<03:19,  4.89batch/s, Train loss=1.0476, Train accuracy=0.4861]
Training:  25% 320/1293 [01:06<03:19,  4.89batch/s, Train loss=1.0476, Train accuracy=0.4861]
Training:  25% 320/1293 [01:06<03:19,  4.89batch/s, Train loss=1.0476, Train accuracy=0.4861]
Training:  25% 321/1293 [01:06<03:23,  4.77batch/s, Train loss=1.0476, Train accuracy=0.4861]
Training:  25% 321/1293 [01:06<03:23,  4.77batch/s, Train loss=1.0476, Train accuracy=0.4861]
Training:  25% 322/1293 [01:06<03:22,  4.81batch/s, Train loss=1.0476, Train accuracy=0.4861]
Training:  25% 322/1293 [01:06<03:22,  4.81batch/s, Train loss=1.0472, Train accuracy=0.4865]
Training:  25% 323/1293 [01:06<03:24,  4.75batch/s, Train loss=1.0472, Train accuracy=0.4865]
Training:  25% 323/1293 [01:06<03:24,  4.75batch/s, Train loss=1.0474, Train accuracy=0.4864]
Training:  25% 324/1293 [01:06<03:23,  4.75batch/s, Train loss=1.0474, Train accuracy=0.4864]
Training:  25% 324/1293 [01:07<03:23,  4.75batch/s, Train loss=1.0476, Train accuracy=0.4864]
Training:  25% 325/1293 [01:07<03:21,  4.82batch/s, Train loss=1.0476, Train accuracy=0.4864]
Training:  25% 325/1293 [01:07<03:21,  4.82batch/s, Train loss=1.0471, Train accuracy=0.4866]
Training:  25% 326/1293 [01:07<03:23,  4.74batch/s, Train loss=1.0471, Train accuracy=0.4866]
Training:  25% 326/1293 [01:07<03:23,  4.74batch/s, Train loss=1.0473, Train accuracy=0.4868]
Training:  25% 327/1293 [01:07<03:21,  4.78batch/s, Train loss=1.0473, Train accuracy=0.4868]
Training:  25% 327/1293 [01:07<03:21,  4.78batch/s, Train loss=1.0467, Train accuracy=0.4870]
Training:  25% 328/1293 [01:07<03:20,  4.81batch/s, Train loss=1.0467, Train accuracy=0.4870]
Training:  25% 328/1293 [01:07<03:20,  4.81batch/s, Train loss=1.0470, Train accuracy=0.4868]
Training:  25% 329/1293 [01:07<03:19,  4.84batch/s, Train loss=1.0470, Train accuracy=0.4868]
Training:  25% 329/1293 [01:08<03:19,  4.84batch/s, Train loss=1.0470, Train accuracy=0.4868]
Training:  26% 330/1293 [01:08<03:17,  4.88batch/s, Train loss=1.0470, Train accuracy=0.4868]
Training:  26% 330/1293 [01:08<03:17,  4.88batch/s, Train loss=1.0468, Train accuracy=0.4869]
Training:  26% 331/1293 [01:08<03:21,  4.77batch/s, Train loss=1.0468, Train accuracy=0.4869]
Training:  26% 331/1293 [01:08<03:21,  4.77batch/s, Train loss=1.0470, Train accuracy=0.4867]
Training:  26% 332/1293 [01:08<03:19,  4.81batch/s, Train loss=1.0470, Train accuracy=0.4867]
Training:  26% 332/1293 [01:08<03:19,  4.81batch/s, Train loss=1.0467, Train accuracy=0.4869]
Training:  26% 333/1293 [01:08<03:18,  4.84batch/s, Train loss=1.0467, Train accuracy=0.4869]
Training:  26% 333/1293 [01:08<03:18,  4.84batch/s, Train loss=1.0467, Train accuracy=0.4868]
Training:  26% 334/1293 [01:08<03:16,  4.87batch/s, Train loss=1.0467, Train accuracy=0.4868]
Training:  26% 334/1293 [01:09<03:16,  4.87batch/s, Train loss=1.0466, Train accuracy=0.4870]
Training:  26% 335/1293 [01:09<03:16,  4.89batch/s, Train loss=1.0466, Train accuracy=0.4870]
Training:  26% 335/1293 [01:09<03:16,  4.89batch/s, Train loss=1.0466, Train accuracy=0.4871]
Training:  26% 336/1293 [01:09<03:20,  4.77batch/s, Train loss=1.0466, Train accuracy=0.4871]
Training:  26% 336/1293 [01:09<03:20,  4.77batch/s, Train loss=1.0464, Train accuracy=0.4871]
Training:  26% 337/1293 [01:09<03:21,  4.74batch/s, Train loss=1.0464, Train accuracy=0.4871]
Training:  26% 337/1293 [01:09<03:21,  4.74batch/s, Train loss=1.0459, Train accuracy=0.4871]
Training:  26% 338/1293 [01:09<03:18,  4.82batch/s, Train loss=1.0459, Train accuracy=0.4871]
Training:  26% 338/1293 [01:10<03:18,  4.82batch/s, Train loss=1.0456, Train accuracy=0.4870]
Training:  26% 339/1293 [01:10<03:15,  4.88batch/s, Train loss=1.0456, Train accuracy=0.4870]
Training:  26% 339/1293 [01:10<03:15,  4.88batch/s, Train loss=1.0455, Train accuracy=0.4871]
Training:  26% 340/1293 [01:10<03:20,  4.76batch/s, Train loss=1.0455, Train accuracy=0.4871]
Training:  26% 340/1293 [01:10<03:20,  4.76batch/s, Train loss=1.0457, Train accuracy=0.4870]
Training:  26% 341/1293 [01:10<03:23,  4.67batch/s, Train loss=1.0457, Train accuracy=0.4870]
Training:  26% 341/1293 [01:10<03:23,  4.67batch/s, Train loss=1.0457, Train accuracy=0.4870]
Training:  26% 342/1293 [01:10<03:22,  4.69batch/s, Train loss=1.0457, Train accuracy=0.4870]
Training:  26% 342/1293 [01:10<03:22,  4.69batch/s, Train loss=1.0458, Train accuracy=0.4868]
Training:  27% 343/1293 [01:10<03:21,  4.71batch/s, Train loss=1.0458, Train accuracy=0.4868]
Training:  27% 343/1293 [01:11<03:21,  4.71batch/s, Train loss=1.0456, Train accuracy=0.4866]
Training:  27% 344/1293 [01:11<03:19,  4.75batch/s, Train loss=1.0456, Train accuracy=0.4866]
Training:  27% 344/1293 [01:11<03:19,  4.75batch/s, Train loss=1.0456, Train accuracy=0.4866]
Training:  27% 345/1293 [01:11<03:23,  4.65batch/s, Train loss=1.0456, Train accuracy=0.4866]
Training:  27% 345/1293 [01:11<03:23,  4.65batch/s, Train loss=1.0455, Train accuracy=0.4868]
Training:  27% 346/1293 [01:11<03:25,  4.60batch/s, Train loss=1.0455, Train accuracy=0.4868]
Training:  27% 346/1293 [01:11<03:25,  4.60batch/s, Train loss=1.0456, Train accuracy=0.4867]
Training:  27% 347/1293 [01:11<03:24,  4.63batch/s, Train loss=1.0456, Train accuracy=0.4867]
Training:  27% 347/1293 [01:11<03:24,  4.63batch/s, Train loss=1.0457, Train accuracy=0.4864]
Training:  27% 348/1293 [01:11<03:22,  4.67batch/s, Train loss=1.0457, Train accuracy=0.4864]
Training:  27% 348/1293 [01:12<03:22,  4.67batch/s, Train loss=1.0462, Train accuracy=0.4862]
Training:  27% 349/1293 [01:12<03:20,  4.71batch/s, Train loss=1.0462, Train accuracy=0.4862]
Training:  27% 349/1293 [01:12<03:20,  4.71batch/s, Train loss=1.0459, Train accuracy=0.4862]
Training:  27% 350/1293 [01:12<03:20,  4.70batch/s, Train loss=1.0459, Train accuracy=0.4862]
Training:  27% 350/1293 [01:12<03:20,  4.70batch/s, Train loss=1.0461, Train accuracy=0.4861]
Training:  27% 351/1293 [01:12<03:21,  4.67batch/s, Train loss=1.0461, Train accuracy=0.4861]
Training:  27% 351/1293 [01:12<03:21,  4.67batch/s, Train loss=1.0460, Train accuracy=0.4861]
Training:  27% 352/1293 [01:12<03:20,  4.68batch/s, Train loss=1.0460, Train accuracy=0.4861]
Training:  27% 352/1293 [01:13<03:20,  4.68batch/s, Train loss=1.0458, Train accuracy=0.4860]
Training:  27% 353/1293 [01:13<03:24,  4.61batch/s, Train loss=1.0458, Train accuracy=0.4860]
Training:  27% 353/1293 [01:13<03:24,  4.61batch/s, Train loss=1.0455, Train accuracy=0.4860]
Training:  27% 354/1293 [01:13<03:36,  4.34batch/s, Train loss=1.0455, Train accuracy=0.4860]
Training:  27% 354/1293 [01:13<03:36,  4.34batch/s, Train loss=1.0452, Train accuracy=0.4861]
Training:  27% 355/1293 [01:13<03:35,  4.35batch/s, Train loss=1.0452, Train accuracy=0.4861]
Training:  27% 355/1293 [01:13<03:35,  4.35batch/s, Train loss=1.0455, Train accuracy=0.4859]
Training:  28% 356/1293 [01:13<03:36,  4.33batch/s, Train loss=1.0455, Train accuracy=0.4859]
Training:  28% 356/1293 [01:13<03:36,  4.33batch/s, Train loss=1.0454, Train accuracy=0.4861]
Training:  28% 357/1293 [01:13<03:27,  4.50batch/s, Train loss=1.0454, Train accuracy=0.4861]
Training:  28% 357/1293 [01:14<03:27,  4.50batch/s, Train loss=1.0456, Train accuracy=0.4861]
Training:  28% 358/1293 [01:14<03:21,  4.64batch/s, Train loss=1.0456, Train accuracy=0.4861]
Training:  28% 358/1293 [01:14<03:21,  4.64batch/s, Train loss=1.0455, Train accuracy=0.4862]
Training:  28% 359/1293 [01:14<03:16,  4.76batch/s, Train loss=1.0455, Train accuracy=0.4862]
Training:  28% 359/1293 [01:14<03:16,  4.76batch/s, Train loss=1.0453, Train accuracy=0.4863]
Training:  28% 360/1293 [01:14<03:14,  4.80batch/s, Train loss=1.0453, Train accuracy=0.4863]
Training:  28% 360/1293 [01:14<03:14,  4.80batch/s, Train loss=1.0453, Train accuracy=0.4862]
Training:  28% 361/1293 [01:14<03:16,  4.76batch/s, Train loss=1.0453, Train accuracy=0.4862]
Training:  28% 361/1293 [01:14<03:16,  4.76batch/s, Train loss=1.0456, Train accuracy=0.4861]
Training:  28% 362/1293 [01:14<03:13,  4.82batch/s, Train loss=1.0456, Train accuracy=0.4861]
Training:  28% 362/1293 [01:15<03:13,  4.82batch/s, Train loss=1.0453, Train accuracy=0.4862]
Training:  28% 363/1293 [01:15<03:10,  4.87batch/s, Train loss=1.0453, Train accuracy=0.4862]
Training:  28% 363/1293 [01:15<03:10,  4.87batch/s, Train loss=1.0452, Train accuracy=0.4861]
Training:  28% 364/1293 [01:15<03:09,  4.90batch/s, Train loss=1.0452, Train accuracy=0.4861]
Training:  28% 364/1293 [01:15<03:09,  4.90batch/s, Train loss=1.0454, Train accuracy=0.4860]
Training:  28% 365/1293 [01:15<03:08,  4.92batch/s, Train loss=1.0454, Train accuracy=0.4860]
Training:  28% 365/1293 [01:15<03:08,  4.92batch/s, Train loss=1.0459, Train accuracy=0.4858]
Training:  28% 366/1293 [01:15<03:07,  4.93batch/s, Train loss=1.0459, Train accuracy=0.4858]
Training:  28% 366/1293 [01:16<03:07,  4.93batch/s, Train loss=1.0458, Train accuracy=0.4860]
Training:  28% 367/1293 [01:16<03:08,  4.91batch/s, Train loss=1.0458, Train accuracy=0.4860]
Training:  28% 367/1293 [01:16<03:08,  4.91batch/s, Train loss=1.0457, Train accuracy=0.4859]
Training:  28% 368/1293 [01:16<03:08,  4.91batch/s, Train loss=1.0457, Train accuracy=0.4859]
Training:  28% 368/1293 [01:16<03:08,  4.91batch/s, Train loss=1.0458, Train accuracy=0.4859]
Training:  29% 369/1293 [01:16<03:07,  4.93batch/s, Train loss=1.0458, Train accuracy=0.4859]
Training:  29% 369/1293 [01:16<03:07,  4.93batch/s, Train loss=1.0456, Train accuracy=0.4858]
Training:  29% 370/1293 [01:16<03:07,  4.93batch/s, Train loss=1.0456, Train accuracy=0.4858]
Training:  29% 370/1293 [01:16<03:07,  4.93batch/s, Train loss=1.0462, Train accuracy=0.4856]
Training:  29% 371/1293 [01:16<03:06,  4.95batch/s, Train loss=1.0462, Train accuracy=0.4856]
Training:  29% 371/1293 [01:17<03:06,  4.95batch/s, Train loss=1.0465, Train accuracy=0.4857]
Training:  29% 372/1293 [01:17<03:06,  4.94batch/s, Train loss=1.0465, Train accuracy=0.4857]
Training:  29% 372/1293 [01:17<03:06,  4.94batch/s, Train loss=1.0468, Train accuracy=0.4856]
Training:  29% 373/1293 [01:17<03:05,  4.95batch/s, Train loss=1.0468, Train accuracy=0.4856]
Training:  29% 373/1293 [01:17<03:05,  4.95batch/s, Train loss=1.0466, Train accuracy=0.4859]
Training:  29% 374/1293 [01:17<03:05,  4.97batch/s, Train loss=1.0466, Train accuracy=0.4859]
Training:  29% 374/1293 [01:17<03:05,  4.97batch/s, Train loss=1.0468, Train accuracy=0.4859]
Training:  29% 375/1293 [01:17<03:04,  4.97batch/s, Train loss=1.0468, Train accuracy=0.4859]
Training:  29% 375/1293 [01:17<03:04,  4.97batch/s, Train loss=1.0470, Train accuracy=0.4860]
Training:  29% 376/1293 [01:17<03:03,  4.99batch/s, Train loss=1.0470, Train accuracy=0.4860]
Training:  29% 376/1293 [01:18<03:03,  4.99batch/s, Train loss=1.0469, Train accuracy=0.4860]
Training:  29% 377/1293 [01:18<03:03,  4.99batch/s, Train loss=1.0469, Train accuracy=0.4860]
Training:  29% 377/1293 [01:18<03:03,  4.99batch/s, Train loss=1.0465, Train accuracy=0.4861]
Training:  29% 378/1293 [01:18<03:03,  4.99batch/s, Train loss=1.0465, Train accuracy=0.4861]
Training:  29% 378/1293 [01:18<03:03,  4.99batch/s, Train loss=1.0462, Train accuracy=0.4862]
Training:  29% 379/1293 [01:18<03:03,  4.97batch/s, Train loss=1.0462, Train accuracy=0.4862]
Training:  29% 379/1293 [01:18<03:03,  4.97batch/s, Train loss=1.0462, Train accuracy=0.4862]
Training:  29% 380/1293 [01:18<03:04,  4.96batch/s, Train loss=1.0462, Train accuracy=0.4862]
Training:  29% 380/1293 [01:18<03:04,  4.96batch/s, Train loss=1.0462, Train accuracy=0.4862]
Training:  29% 381/1293 [01:18<03:04,  4.94batch/s, Train loss=1.0462, Train accuracy=0.4862]
Training:  29% 381/1293 [01:19<03:04,  4.94batch/s, Train loss=1.0462, Train accuracy=0.4862]
Training:  30% 382/1293 [01:19<03:04,  4.94batch/s, Train loss=1.0462, Train accuracy=0.4862]
Training:  30% 382/1293 [01:19<03:04,  4.94batch/s, Train loss=1.0460, Train accuracy=0.4865]
Training:  30% 383/1293 [01:19<03:04,  4.94batch/s, Train loss=1.0460, Train accuracy=0.4865]
Training:  30% 383/1293 [01:19<03:04,  4.94batch/s, Train loss=1.0461, Train accuracy=0.4865]
Training:  30% 384/1293 [01:19<03:03,  4.94batch/s, Train loss=1.0461, Train accuracy=0.4865]
Training:  30% 384/1293 [01:19<03:03,  4.94batch/s, Train loss=1.0461, Train accuracy=0.4865]
Training:  30% 385/1293 [01:19<03:03,  4.94batch/s, Train loss=1.0461, Train accuracy=0.4865]
Training:  30% 385/1293 [01:19<03:03,  4.94batch/s, Train loss=1.0464, Train accuracy=0.4862]
Training:  30% 386/1293 [01:19<03:03,  4.94batch/s, Train loss=1.0464, Train accuracy=0.4862]
Training:  30% 386/1293 [01:20<03:03,  4.94batch/s, Train loss=1.0460, Train accuracy=0.4865]
Training:  30% 387/1293 [01:20<03:03,  4.93batch/s, Train loss=1.0460, Train accuracy=0.4865]
Training:  30% 387/1293 [01:20<03:03,  4.93batch/s, Train loss=1.0459, Train accuracy=0.4865]
Training:  30% 388/1293 [01:20<03:03,  4.93batch/s, Train loss=1.0459, Train accuracy=0.4865]
Training:  30% 388/1293 [01:20<03:03,  4.93batch/s, Train loss=1.0460, Train accuracy=0.4864]
Training:  30% 389/1293 [01:20<03:05,  4.88batch/s, Train loss=1.0460, Train accuracy=0.4864]
Training:  30% 389/1293 [01:20<03:05,  4.88batch/s, Train loss=1.0460, Train accuracy=0.4865]
Training:  30% 390/1293 [01:20<03:04,  4.91batch/s, Train loss=1.0460, Train accuracy=0.4865]
Training:  30% 390/1293 [01:20<03:04,  4.91batch/s, Train loss=1.0461, Train accuracy=0.4864]
Training:  30% 391/1293 [01:20<03:04,  4.89batch/s, Train loss=1.0461, Train accuracy=0.4864]
Training:  30% 391/1293 [01:21<03:04,  4.89batch/s, Train loss=1.0458, Train accuracy=0.4864]
Training:  30% 392/1293 [01:21<03:03,  4.92batch/s, Train loss=1.0458, Train accuracy=0.4864]
Training:  30% 392/1293 [01:21<03:03,  4.92batch/s, Train loss=1.0457, Train accuracy=0.4866]
Training:  30% 393/1293 [01:21<03:04,  4.88batch/s, Train loss=1.0457, Train accuracy=0.4866]
Training:  30% 393/1293 [01:21<03:04,  4.88batch/s, Train loss=1.0456, Train accuracy=0.4866]
Training:  30% 394/1293 [01:21<03:03,  4.89batch/s, Train loss=1.0456, Train accuracy=0.4866]
Training:  30% 394/1293 [01:21<03:03,  4.89batch/s, Train loss=1.0456, Train accuracy=0.4865]
Training:  31% 395/1293 [01:21<03:05,  4.84batch/s, Train loss=1.0456, Train accuracy=0.4865]
Training:  31% 395/1293 [01:21<03:05,  4.84batch/s, Train loss=1.0453, Train accuracy=0.4865]
Training:  31% 396/1293 [01:21<03:04,  4.87batch/s, Train loss=1.0453, Train accuracy=0.4865]
Training:  31% 396/1293 [01:22<03:04,  4.87batch/s, Train loss=1.0449, Train accuracy=0.4864]
Training:  31% 397/1293 [01:22<03:03,  4.89batch/s, Train loss=1.0449, Train accuracy=0.4864]
Training:  31% 397/1293 [01:22<03:03,  4.89batch/s, Train loss=1.0448, Train accuracy=0.4864]
Training:  31% 398/1293 [01:22<03:02,  4.90batch/s, Train loss=1.0448, Train accuracy=0.4864]
Training:  31% 398/1293 [01:22<03:02,  4.90batch/s, Train loss=1.0451, Train accuracy=0.4862]
Training:  31% 399/1293 [01:22<03:01,  4.91batch/s, Train loss=1.0451, Train accuracy=0.4862]
Training:  31% 399/1293 [01:22<03:01,  4.91batch/s, Train loss=1.0451, Train accuracy=0.4865]
Training:  31% 400/1293 [01:22<03:01,  4.92batch/s, Train loss=1.0451, Train accuracy=0.4865]
Training:  31% 400/1293 [01:22<03:01,  4.92batch/s, Train loss=1.0452, Train accuracy=0.4864]
Training:  31% 401/1293 [01:22<03:01,  4.92batch/s, Train loss=1.0452, Train accuracy=0.4864]
Training:  31% 401/1293 [01:23<03:01,  4.92batch/s, Train loss=1.0451, Train accuracy=0.4862]
Training:  31% 402/1293 [01:23<03:01,  4.91batch/s, Train loss=1.0451, Train accuracy=0.4862]
Training:  31% 402/1293 [01:23<03:01,  4.91batch/s, Train loss=1.0449, Train accuracy=0.4863]
Training:  31% 403/1293 [01:23<03:00,  4.93batch/s, Train loss=1.0449, Train accuracy=0.4863]
Training:  31% 403/1293 [01:23<03:00,  4.93batch/s, Train loss=1.0448, Train accuracy=0.4862]
Training:  31% 404/1293 [01:23<03:00,  4.92batch/s, Train loss=1.0448, Train accuracy=0.4862]
Training:  31% 404/1293 [01:23<03:00,  4.92batch/s, Train loss=1.0453, Train accuracy=0.4862]
Training:  31% 405/1293 [01:23<03:00,  4.93batch/s, Train loss=1.0453, Train accuracy=0.4862]
Training:  31% 405/1293 [01:23<03:00,  4.93batch/s, Train loss=1.0451, Train accuracy=0.4861]
Training:  31% 406/1293 [01:23<03:03,  4.83batch/s, Train loss=1.0451, Train accuracy=0.4861]
Training:  31% 406/1293 [01:24<03:03,  4.83batch/s, Train loss=1.0451, Train accuracy=0.4859]
Training:  31% 407/1293 [01:24<03:07,  4.72batch/s, Train loss=1.0451, Train accuracy=0.4859]
Training:  31% 407/1293 [01:24<03:07,  4.72batch/s, Train loss=1.0450, Train accuracy=0.4858]
Training:  32% 408/1293 [01:24<03:06,  4.74batch/s, Train loss=1.0450, Train accuracy=0.4858]
Training:  32% 408/1293 [01:24<03:06,  4.74batch/s, Train loss=1.0452, Train accuracy=0.4859]
Training:  32% 409/1293 [01:24<03:07,  4.72batch/s, Train loss=1.0452, Train accuracy=0.4859]
Training:  32% 409/1293 [01:24<03:07,  4.72batch/s, Train loss=1.0454, Train accuracy=0.4860]
Training:  32% 410/1293 [01:24<03:06,  4.73batch/s, Train loss=1.0454, Train accuracy=0.4860]
Training:  32% 410/1293 [01:25<03:06,  4.73batch/s, Train loss=1.0456, Train accuracy=0.4858]
Training:  32% 411/1293 [01:25<03:08,  4.69batch/s, Train loss=1.0456, Train accuracy=0.4858]
Training:  32% 411/1293 [01:25<03:08,  4.69batch/s, Train loss=1.0455, Train accuracy=0.4858]
Training:  32% 412/1293 [01:25<03:11,  4.60batch/s, Train loss=1.0455, Train accuracy=0.4858]
Training:  32% 412/1293 [01:25<03:11,  4.60batch/s, Train loss=1.0452, Train accuracy=0.4858]
Training:  32% 413/1293 [01:25<03:09,  4.65batch/s, Train loss=1.0452, Train accuracy=0.4858]
Training:  32% 413/1293 [01:25<03:09,  4.65batch/s, Train loss=1.0455, Train accuracy=0.4856]
Training:  32% 414/1293 [01:25<03:08,  4.67batch/s, Train loss=1.0455, Train accuracy=0.4856]
Training:  32% 414/1293 [01:25<03:08,  4.67batch/s, Train loss=1.0451, Train accuracy=0.4856]
Training:  32% 415/1293 [01:25<03:06,  4.70batch/s, Train loss=1.0451, Train accuracy=0.4856]
Training:  32% 415/1293 [01:26<03:06,  4.70batch/s, Train loss=1.0451, Train accuracy=0.4855]
Training:  32% 416/1293 [01:26<03:05,  4.72batch/s, Train loss=1.0451, Train accuracy=0.4855]
